City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Novyy Oskol,50.76,37.87,60.42,66,100,10.65,RU,1597305859
Erenhot,43.65,111.98,78.66,33,0,30.47,CN,1597305859
Payson,40.04,-111.73,71.6,26,1,10.29,US,1597305616
Nanhai,30.13,111.78,91.89,69,100,15.9,CN,1597305859
Kalmar,56.66,16.36,66.2,68,0,4.7,SE,1597305860
Araure,9.56,-69.21,73.4,100,96,5.82,VE,1597305860
Baghmara,23.8,86.21,93.24,56,70,9.62,IN,1597305860
Naze,28.37,129.48,87.8,74,75,10.29,JP,1597305861
Gainesville,29.65,-82.32,75.99,94,1,3.36,US,1597305833
Abhar,36.15,49.22,82.0,26,0,7.52,IR,1597305861
Sabang,5.89,95.32,83.61,71,100,20.56,ID,1597305861
Artigas,-30.4,-56.47,42.62,91,7,5.61,UY,1597305786
Kendari,-3.94,122.5,83.53,64,0,6.64,ID,1597305862
Ragonvalia,7.58,-72.48,60.39,86,86,5.53,CO,1597305862
Srednekolymsk,67.45,153.68,42.22,92,100,6.44,RU,1597305862
Freetown,8.48,-13.23,77.0,83,75,9.17,SL,1597305862
San Rafael del Sur,11.85,-86.44,78.8,83,20,4.7,NI,1597305862
Esperance,-33.87,121.9,57.2,82,75,13.87,AU,1597305863
Gomel,52.43,30.98,55.4,82,90,8.95,BY,1597305628
Leshukonskoye,64.9,45.76,50.23,82,100,3.47,RU,1597305863
Aden,12.78,45.04,84.29,76,0,10.11,YE,1597305710
Lucapa,-8.42,20.74,82.38,16,0,8.08,AO,1597305863
Tadine,-21.55,167.88,67.48,66,0,8.81,NC,1597305864
Chara,56.91,118.26,78.06,39,100,4.92,RU,1597305864
Pāsighāt,28.07,95.33,77.92,89,100,4.76,IN,1597305864
Egvekinot,66.32,-179.17,47.59,94,81,7.4,RU,1597305864
Hervey Bay,-25.3,152.85,69.01,82,0,3.0,AU,1597305583
Kaliningrad,54.71,20.51,68.0,60,0,4.47,RU,1597305865
Padang,-0.95,100.35,83.3,59,100,2.19,ID,1597305865
Belmonte,-15.86,-38.88,69.8,83,40,2.24,BR,1597305865
São Sebastião,-23.76,-45.41,70.36,62,100,3.65,BR,1597305866
Tashtagol,52.77,87.89,77.88,36,44,7.07,RU,1597305866
Makkah al Mukarramah,21.43,39.83,100.26,15,0,9.13,SA,1597305702
Rome,43.21,-75.46,61.0,87,1,2.06,US,1597305866
Phan Thiet,10.93,108.1,81.54,81,100,4.63,VN,1597305867
Aksarka,66.56,67.8,55.54,53,67,14.25,RU,1597305867
Xalpatlahuac,17.47,-98.62,58.37,87,100,1.66,MX,1597305867
Forsytheganj,52.63,29.73,62.33,61,36,8.46,BY,1597305868
Gazli,40.13,63.45,97.34,13,0,10.2,UZ,1597305868
Tuktoyaktuk,69.45,-133.04,47.7,84,100,6.15,CA,1597305868
Atasū,48.68,71.64,68.22,51,100,10.16,KZ,1597305869
Salalah,17.02,54.09,78.8,94,90,3.36,OM,1597305869
Burnie,-41.07,145.92,52.0,92,100,3.0,AU,1597305712
Hōfu,34.05,131.57,93.2,59,40,11.41,JP,1597305870
Bairiki Village,1.33,172.98,82.4,69,20,3.36,KI,1597305870
Sørland,67.67,12.69,57.2,76,40,6.93,NO,1597305870
Saldanha,-33.01,17.94,51.8,93,67,3.36,ZA,1597305870
Nador,35.17,-2.93,77.0,73,20,5.82,MA,1597305871
Hofn,64.25,-15.21,54.97,71,39,14.16,IS,1597305871
Acapulco de Juárez,16.86,-99.89,78.19,76,100,4.68,MX,1597305652
Ankazoabo,-22.28,44.52,83.53,23,0,3.62,MG,1597305872
Kuytun,54.34,101.5,79.59,45,12,4.79,RU,1597305872
Antalya Province,36.77,30.72,96.8,25,0,8.05,TR,1597305605
Bathsheba,13.22,-59.52,82.4,74,40,17.22,BB,1597305872
San Policarpo,12.18,125.51,84.49,71,46,3.47,PH,1597305873
Killybegs,54.63,-8.45,59.0,93,90,12.75,IE,1597305873
Peace River,56.25,-117.29,50.0,81,75,13.87,CA,1597305873
Chicama,-7.84,-79.15,58.93,88,99,3.31,PE,1597305873
Lata,40.16,-8.33,64.0,87,17,3.38,PT,1597305874
Aljezur,37.32,-8.8,70.0,75,0,9.28,PT,1597305874
Bandarbeyla,9.49,50.81,87.24,47,96,25.93,SO,1597305874
Kuruman,-27.45,23.43,52.0,44,0,1.01,ZA,1597305874
Ulagan,50.63,87.96,76.01,24,84,2.39,RU,1597305874
Coahuayana Viejo,18.73,-103.68,76.3,85,100,3.85,MX,1597305875
Sisimiut,66.94,-53.67,39.81,83,6,7.2,GL,1597305875
Pangkalanbuun,-2.68,111.62,90.12,56,92,3.89,ID,1597305875
‘Āhuimanu,21.44,-157.84,80.6,69,1,11.41,US,1597305875
Moyobamba,-6.05,-76.97,64.22,86,45,0.98,PE,1597305876
Steamboat Springs,40.48,-106.83,59.0,33,1,3.83,US,1597305876
Beloha,-25.17,45.05,79.9,31,0,4.32,MG,1597305876
Pāthardi,19.17,75.18,75.97,81,100,13.94,IN,1597305663
Morehead,37.27,-87.18,72.0,100,1,4.07,US,1597305877
Mossamedes,-15.2,12.15,69.12,70,0,2.3,AO,1597305877
Poya,-21.35,165.15,65.62,70,5,5.03,NC,1597305877
Herat Province,34.5,62.0,102.2,10,0,14.99,AF,1597305877
Örnsköldsvik,63.29,18.72,62.6,72,65,2.24,SE,1597305784
Araguaína,-7.19,-48.21,71.26,43,67,5.14,BR,1597305878
Vila Franca do Campo,37.72,-25.43,69.8,77,20,6.93,PT,1597305878
Biltine,14.53,20.92,82.99,63,25,4.41,TD,1597305878
La Paz,-16.5,-68.15,26.6,63,0,3.36,BO,1597305724
Vardø,70.37,31.11,48.2,76,20,10.29,NO,1597305879
Porto-Novo,6.5,2.6,73.4,100,40,5.82,BJ,1597305731
Desbiens,48.42,-71.95,62.6,77,20,8.05,CA,1597305879
Kulhudhuffushi,6.62,73.07,82.45,72,100,7.85,MV,1597305833
Anadyr,64.75,177.48,57.2,67,0,17.9,RU,1597305664
Luganville,-15.53,167.17,77.41,85,94,7.54,VU,1597305880
Alofi,-19.06,-169.92,73.4,88,72,3.36,NU,1597305880
Zholymbet,51.74,71.71,63.5,73,97,14.85,KZ,1597305880
Aksu,41.12,80.26,89.49,20,17,4.34,CN,1597305880
Luwuk,-0.95,122.79,84.33,64,55,6.6,ID,1597305881
Fortuna,40.6,-124.16,51.01,92,22,1.59,US,1597305723
Gannan,47.91,123.5,65.53,84,100,10.07,CN,1597305881
Cockburn Town,21.46,-71.14,82.49,82,100,20.2,TC,1597305882
Abu Kamal,34.45,40.92,98.26,21,0,15.3,SY,1597305882
Ulladulla,-35.35,150.47,62.6,63,0,8.05,AU,1597305882
Bara,10.37,10.73,77.7,78,100,8.95,NG,1597305882
Lockhart,28.62,-81.44,79.0,94,98,1.74,US,1597305883
Fuyu,45.18,124.82,66.04,96,100,22.32,CN,1597305883
Lonevåg,60.53,5.49,68.0,88,40,9.17,NO,1597305883
Zabul Province,32.25,67.25,93.38,10,0,10.18,AF,1597305884
Eyl,7.98,49.82,88.57,43,49,26.11,SO,1597305884
Limbang,4.75,115.0,87.8,62,75,4.7,MY,1597305884
Tignère,7.37,12.65,70.16,82,99,3.69,CM,1597305885
Shizunai-furukawachō,42.33,142.37,73.62,68,94,14.36,JP,1597305885
Grand Gaube,-20.01,57.66,73.99,58,1,11.01,MU,1597305886
Huarmey,-10.07,-78.15,58.57,87,94,7.76,PE,1597305886
Chengzhong,30.95,113.55,95.0,56,20,13.42,CN,1597305886
Cayenne,4.93,-52.33,73.4,100,64,5.32,GF,1597305619
Oyama,36.3,139.8,93.2,59,75,6.93,JP,1597305887
Ambilobe,-13.2,49.05,93.6,21,0,1.32,MG,1597305888
Seoul,37.57,126.98,89.6,70,90,3.36,KR,1597305888
Ternate,0.8,127.4,82.09,75,97,10.42,ID,1597305889
Novikovo,51.15,37.89,60.28,68,100,10.76,RU,1597305889
Humaitá,-7.51,-63.02,78.3,52,57,2.68,BR,1597305890
Nosy Varika,-20.58,48.53,73.36,57,5,8.59,MG,1597305890
Tual,-5.67,132.75,78.75,84,2,15.01,ID,1597305890
Clyde River,70.47,-68.59,46.4,75,90,5.82,CA,1597305891
Nola,40.92,14.53,82.4,65,34,2.24,IT,1597305891
Vorozhba,51.17,34.22,63.82,63,75,12.1,UA,1597305891
Akşehir,38.36,31.42,77.14,34,0,6.2,TR,1597305891
Maraã,-1.83,-65.37,73.44,93,100,1.57,BR,1597305892
Dwārka,22.24,68.97,83.77,79,100,24.99,IN,1597305892
Mindelo,16.89,-24.98,78.8,69,40,11.41,CV,1597305892
Ambon City,-3.7,128.18,79.9,71,55,10.78,ID,1597305892
Nouadhibou,20.93,-17.03,69.8,83,0,13.87,MR,1597305892
Front Royal,38.92,-78.19,72.0,96,100,3.65,US,1597305893
Loma Bonita,8.38,-80.17,80.01,99,100,6.76,PA,1597305893
Samarai,-10.62,150.67,78.17,86,100,16.15,PG,1597305894
Séguéla,7.96,-6.67,67.91,85,0,4.21,CI,1597305894
High Level,58.52,-117.14,51.8,100,90,6.93,CA,1597305894
Lircay,-12.99,-74.72,42.6,72,27,1.54,PE,1597305895
Honiara,-9.43,159.95,80.6,83,75,2.24,SB,1597305895
Cananéia,-25.01,-47.93,64.35,91,89,4.9,BR,1597305895
Mount Abu,24.59,72.71,75.99,94,100,12.71,IN,1597305895
Indianola,41.36,-93.56,73.0,92,82,6.89,US,1597305896
Nsawam,5.81,-0.35,73.4,88,35,5.82,GH,1597305896
Soyo,-6.13,12.37,73.74,75,92,6.55,AO,1597305896
Bereda,43.27,-7.54,62.01,100,80,3.0,ES,1597305896
Ranong,9.97,98.63,80.6,88,75,5.82,TH,1597305897
Rokytne,51.28,27.21,66.02,55,0,4.81,UA,1597305897
Kloulklubed,7.04,134.26,80.6,83,90,4.7,PW,1597305897
Nizhnyaya Tavda,57.67,66.17,64.06,50,28,9.44,RU,1597305897
King City,36.21,-121.13,66.99,52,0,2.44,US,1597305712
Churapcha,62.0,132.43,57.25,41,50,14.65,RU,1597305898
Timrå,62.49,17.33,64.99,77,0,0.36,SE,1597305898
Angoram,-4.06,144.07,80.11,84,62,4.85,PG,1597305898
Usinsk,65.99,57.53,50.58,63,100,14.18,RU,1597305899
Collie,-33.37,116.15,61.0,47,68,6.35,AU,1597305899
Port Moresby,-9.44,147.18,78.62,85,100,15.32,PG,1597305899
Konstantinovka,49.62,127.98,78.3,56,100,7.78,RU,1597305900
Cap Malheureux,-19.98,57.61,73.99,58,1,11.01,MU,1597305900
Buchanan,5.88,-10.05,71.6,94,75,6.29,LR,1597305900
Shemonaīkha,50.63,81.91,79.77,34,74,11.01,KZ,1597305901
Barcelos,41.54,-8.62,71.01,82,0,1.12,PT,1597305901
Havøysund,71.0,24.66,51.8,81,93,10.29,NO,1597305901
Presidencia Roque Sáenz Peña,-26.79,-60.44,49.75,59,85,3.42,AR,1597305901
Miyazu,35.53,135.18,87.8,70,40,9.17,JP,1597305902
Biak,-0.91,122.88,82.96,65,29,8.16,ID,1597305902
Djibo,14.1,-1.63,79.5,70,0,11.74,BF,1597305902
Port Macquarie,-31.43,152.92,63.0,82,29,3.4,AU,1597305902
Novaya Igirma,57.13,103.91,81.77,35,29,3.2,RU,1597305903
Nevers,46.99,3.16,68.0,77,99,5.82,FR,1597305903
Koshurnikovo,54.17,93.3,74.84,56,63,3.4,RU,1597305903
Nichinan,31.6,131.37,86.0,79,40,10.29,JP,1597305904
Chumikan,54.72,135.31,71.91,51,0,2.62,RU,1597305904
Atbasar,51.8,68.33,59.47,77,99,12.01,KZ,1597305904
Tabou,4.42,-7.35,75.4,67,14,3.04,CI,1597305904
Matagami,49.75,-77.63,53.6,93,1,1.19,CA,1597305905
Ati,13.22,18.34,76.33,83,98,8.39,TD,1597305905
Jaciara,-15.97,-54.97,68.41,46,56,3.06,BR,1597305905
Pozo Colorado,-23.49,-58.8,47.48,97,0,4.12,PY,1597305905
Barra de Tecoanapa,16.52,-98.75,79.45,78,100,2.91,MX,1597305906
